ventral compartment ; FBcv:0000037 has been made obsolete. Suggested alternative term(s): spatial qualifier ; FBcv:0000052
relative temporal qualifier ; FBcv:0000011 has been made obsolete. Suggested alternative term(s): temporal  qualifier ; FBcv:0000176
compartment ; FBcv:0000030 has been made obsolete. Suggested alternative term(s): spatial qualifier ; FBcv:0000052
anterior compartment ; FBcv:0000031 has been made obsolete. Suggested alternative term(s): spatial qualifier ; FBcv:0000052
early ; FBcv:0000178 has been made obsolete. Suggested alternative term(s): temporal  qualifier ; FBcv:0000176
posterior compartment ; FBcv:0000036 has been made obsolete. Suggested alternative term(s): spatial qualifier ; FBcv:0000052
mid ; FBcv:0000182 has been made obsolete. Suggested alternative term(s): temporal  qualifier ; FBcv:0000176
temporal stage qualifier ; FBcv:0000009 has been made obsolete. Suggested alternative term(s): temporal  qualifier ; FBcv:0000176
dorsal compartment ; FBcv:0000035 has been made obsolete. Suggested alternative term(s): spatial qualifier ; FBcv:0000052
anterior/posterior compartment boundary ; FBcv:0000033 has been made obsolete. Suggested alternative term(s): spatial qualifier ; FBcv:0000052
dorsal/ventral compartment boundary ; FBcv:0000034 has been made obsolete. Suggested alternative term(s): spatial qualifier ; FBcv:0000052
late ; FBcv:0000181 has been made obsolete. Suggested alternative term(s): temporal  qualifier ; FBcv:0000176
polyphasic ; FBcv:0000331 has been made obsolete. Suggested alternative term(s): temporal  qualifier ; FBcv:0000176
compartment boundary ; FBcv:0000032 has been made obsolete. Suggested alternative term(s): spatial qualifier ; FBcv:0000052
ipsilateral ; FBcv:0000062 has been made obsolete. Suggested alternative term(s): spatial qualifier ; FBcv:0000052
